epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.432,2.06654,3.45537,2.24418,0.2206,0.20121,0.15201,0.06564,2.3042,3.16955,2.74102,0.000367864,0.000367864,0.000367864
2,45.7725,1.98225,3.14322,2.14581,0.18358,0.25877,0.17199,0.06903,2.34409,3.15848,2.7122,0.00073089,0.00073089,0.00073089
3,65.3722,1.97357,3.04469,2.13245,0.15801,0.31782,0.1536,0.0464,2.39101,3.44266,2.77114,0.00108658,0.00108658,0.00108658
4,84.8147,2.0202,2.9747,2.14417,0.26199,0.27846,0.17176,0.04845,2.41642,2.9939,2.72387,0.001078,0.001078,0.001078
5,104.814,1.98509,2.93931,2.14757,0.26092,0.31261,0.21143,0.08177,2.28495,3.1497,2.70399,0.001067,0.001067,0.001067
6,123.774,1.9781,2.94292,2.1472,0.38181,0.30832,0.26869,0.1015,2.19567,2.85839,2.6549,0.00105601,0.00105601,0.00105601
7,143.539,1.9,2.81921,2.0974,0.4447,0.25271,0.26157,0.09123,2.35403,2.78472,2.67925,0.00104501,0.00104501,0.00104501
8,163,1.91575,2.76232,2.09145,0.43356,0.22476,0.22617,0.10171,2.20997,3.28808,2.59074,0.00103401,0.00103401,0.00103401
9,182.218,1.91463,2.7596,2.10784,0.36563,0.31917,0.24374,0.09946,2.1718,2.98352,2.65235,0.00102301,0.00102301,0.00102301
10,202.215,1.91681,2.74778,2.10233,0.35881,0.32748,0.25902,0.10355,2.23277,2.60141,2.50614,0.00101201,0.00101201,0.00101201
11,223.321,1.91371,2.74257,2.07791,0.4987,0.31377,0.30996,0.13396,2.1583,2.63425,2.585,0.00100101,0.00100101,0.00100101
12,244.8,1.86959,2.68208,2.06502,0.50234,0.35006,0.33128,0.13878,2.09815,2.56193,2.46323,0.000990012,0.000990012,0.000990012
13,265.367,1.84002,2.63754,2.03039,0.41282,0.32395,0.2793,0.11835,2.12244,2.69388,2.50475,0.000979013,0.000979013,0.000979013
14,284.69,1.85281,2.60882,2.05808,0.36207,0.33132,0.30593,0.12714,2.14139,2.47796,2.50957,0.000968014,0.000968014,0.000968014
15,305.151,1.86062,2.56283,2.02731,0.42802,0.3429,0.32136,0.13522,2.13333,2.51299,2.48823,0.000957015,0.000957015,0.000957015
16,324.037,1.83967,2.59531,2.03188,0.45943,0.32683,0.31495,0.12092,2.16104,2.54267,2.56333,0.000946016,0.000946016,0.000946016
17,343.855,1.84751,2.58704,2.01846,0.4465,0.34308,0.33887,0.13478,2.1822,2.53832,2.455,0.000935018,0.000935018,0.000935018
18,363.325,1.80999,2.55515,2.02021,0.37848,0.34298,0.31266,0.12937,2.17424,2.4755,2.42626,0.000924019,0.000924019,0.000924019
19,381.884,1.83391,2.5264,2.0259,0.49721,0.37238,0.33799,0.14964,2.04796,2.50144,2.45451,0.00091302,0.00091302,0.00091302
20,401.469,1.82204,2.53607,2.05183,0.45199,0.33971,0.34217,0.15091,2.06727,2.43107,2.42453,0.000902021,0.000902021,0.000902021
21,420.508,1.7895,2.4674,2.01059,0.45746,0.3272,0.32069,0.13498,2.173,2.42992,2.47646,0.000891022,0.000891022,0.000891022
22,439.861,1.8117,2.48693,2.02241,0.43535,0.34501,0.30895,0.13285,2.09739,2.48341,2.47547,0.000880023,0.000880023,0.000880023
